Job 598            , total_duration: 179.46ms       , real_time_elapsed: 48.817752ms    
Job 593            , total_duration: 86.241ms       , real_time_elapsed: 1.259703ms     
Job 640            , total_duration: 949.830016ms   , real_time_elapsed: 524.280668ms   
Job 587            , total_duration: 5.144ms        , real_time_elapsed: 1.32016ms      
Job 584            , total_duration: 76.061ms       , real_time_elapsed: 1.240245ms     
Job 664            , total_duration: 1.391699968s   , real_time_elapsed: 769.539779ms   
Job 638            , total_duration: 972.809984ms   , real_time_elapsed: 543.147547ms   
Job 616            , total_duration: 644.249984ms   , real_time_elapsed: 335.584391ms   
Job 629            , total_duration: 884.830016ms   , real_time_elapsed: 489.567165ms   
Job 665            , total_duration: 1.462499968s   , real_time_elapsed: 815.901586ms   
Job 600            , total_duration: 415.569984ms   , real_time_elapsed: 203.333637ms   
Job 596            , total_duration: 346.96ms       , real_time_elapsed: 166.263814ms   
Job 583            , total_duration: 184.76ms       , real_time_elapsed: 57.96309ms     
